%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168487238   0.79774857  -0.58443105
1.4596800  0.3842200  1168489038   0.71800309  -0.66766626
1.4596800  0.3842200  1168490838   0.62074184  -0.73113447
1.4596800  0.3842200  1168492638   0.51132238  -0.77201515
1.4596800  0.3842200  1168494438   0.39585555  -0.78854465
1.4596800  0.3842200  1168496238   0.28083402  -0.78014380
1.4596800  0.3842200  1168498038   0.17270344  -0.74744725
1.4596800  0.3842200  1168503894  -0.06524560  -0.50147378
1.4596800  0.3842200  1168505694  -0.08958989  -0.39682627
1.4596800  0.3842200  1168507494  -0.08847952  -0.28651398
1.4596800  0.3842200  1168509294  -0.06299004  -0.17533416
1.4596800  0.3842200  1168511094  -0.01571336  -0.06781402
1.4596800  0.3842200  1168512894   0.04942203   0.03203601
1.4596800  0.3842200  1168514694   0.12743251   0.12094675
1.4596800  0.3842200  1168516494   0.21263506   0.19654332
1.4596800  0.3842200  1168518294   0.29903695   0.25745580
1.4596800  0.3842200  1168520094   0.38075340   0.30333841
1.4596800  0.3842200  1168521894   0.45240408   0.33482742
1.4596800  0.3842200  1168523694   0.50949001   0.35344300
1.4596800  0.3842200  1168525494   0.54867584   0.36140507
1.4596800  0.3842200  1168527294   0.56802964   0.36143744
1.4596800  0.3842200  1168529094   0.56712937   0.35651505
1.4596800  0.3842200  1168530894   0.54707062   0.34960881
1.4596800  0.3842200  1168532694   0.51039773   0.34344485
1.4596800  0.3842200  1168534494   0.46087921   0.34026873
1.4596800  0.3842200  1168536294   0.40325111   0.34166777
1.4596800  0.3842200  1168538094   0.34285882   0.34843558
1.4596800  0.3842200  1168539894   0.28526551   0.36050078
1.4596800  0.3842200  1168541694   0.23585437   0.37693051
1.4596800  0.3842200  1168543494   0.19942746   0.39599001
1.4596800  0.3842200  1168545294   0.17985615   0.41527528
1.4596800  0.3842200  1168547094   0.17978898   0.43189961
1.4596800  0.3842200  1168548894   0.20045559   0.44270623
1.4596800  0.3842200  1168550694   0.24154815   0.44453916
1.4596800  0.3842200  1168552494   0.30123648   0.43448207
1.4596800  0.3842200  1168554294   0.37626866   0.41011450
1.4596800  0.3842200  1168556094   0.46218279   0.36973691
1.4596800  0.3842200  1168557894   0.55359781   0.31252688
1.4596800  0.3842200  1168559694   0.64457893   0.23868223
1.4596800  0.3842200  1168561494   0.72903395   0.14945051
1.4596800  0.3842200  1168563294   0.80112529   0.04711697
1.4596800  0.3842200  1168566157   0.87793267  -0.13437077
