%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'H1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_H1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_H1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1169335730  -0.29607546  -0.33692378
1.4596800  0.3842200  1169337530  -0.40585664  -0.25107020
1.4596800  0.3842200  1169344961  -0.68838865   0.25606260
1.4596800  0.3842200  1169346761  -0.68829983   0.39243791
1.4596800  0.3842200  1169348561  -0.65668195   0.52256793
1.4596800  0.3842200  1169350361  -0.59460014   0.64055735
1.4596800  0.3842200  1169352161  -0.50508231   0.74094069
1.4596800  0.3842200  1169353961  -0.39291534   0.81900930
1.4596800  0.3842200  1169355761  -0.26433557   0.87107706
1.4596800  0.3842200  1169361485   0.16698194   0.84513879
1.4596800  0.3842200  1169363285   0.28169864   0.77885342
1.4596800  0.3842200  1169365085   0.37460008   0.68942916
1.4596800  0.3842200  1169366885   0.44077131   0.58135891
1.4596800  0.3842200  1169368685   0.47703907   0.45992133
1.4596800  0.3842200  1169370485   0.48214707   0.33084601
1.4596800  0.3842200  1169372285   0.45686021   0.19998664
1.4596800  0.3842200  1169374085   0.40385124   0.07295342
1.4596800  0.3842200  1169375885   0.32752630  -0.04520542
1.4596800  0.3842200  1169377685   0.23370603  -0.15029135
1.4596800  0.3842200  1169379485   0.12920538  -0.23916481
1.4596800  0.3842200  1169381285   0.02137724  -0.30991045
1.4596800  0.3842200  1169383085  -0.08240926  -0.36187705
1.4596800  0.3842200  1169384885  -0.17526498  -0.39565808
1.4596800  0.3842200  1169386685  -0.25125611  -0.41298640
1.4596800  0.3842200  1169388485  -0.30578959  -0.41652682
1.4596800  0.3842200  1169390285  -0.33593851  -0.40965158
1.4596800  0.3842200  1169392085  -0.34061036  -0.39612806
1.4596800  0.3842200  1169393885  -0.32060823  -0.37981018
